Name,Hash,Id,Tag,Tier,Type,Source,Equippable,Power,Power Limit,Energy Capacity,Owner,Locked,Equipped,Year,Season,Event,Mobility,Resilience,Recovery,Discipline,Intellect,Strength,Total,Mobility (Base),Resilience (Base),Recovery (Base),Discipline (Base),Intellect (Base),Strength (Base),Total (Base),Seasonal Mod,Loadouts,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12
The Stag,2177524718,"""6917529377262945880""",,Exotic,Helmet,,Warlock,1810,,10,Warlock(1816),true,false,1,2,,4,9,24,19,8,19,83,2,7,22,17,6,7,61,,"Stag PvE - , PvP Stag - ,  - Raid VotD - , Dungeon","#neutral, #endgame #pve, #pvp, high recovery + high discipline",Strength Mod*,Arc Targeting*,Hands-On*,Kinetic Targeting*,Vanguard Burnished Steel*,Upgrade Armor*,*,*,*,*,Capreolinax*,Dearly Departed*,
Corrupting Echo Cover,1832715465,"""6917529558026805191""",,Legendary,Helmet,30th,Warlock,1805,,10,Warlock(1816),true,false,4,15,,10,4,23,20,18,7,82,8,2,21,13,16,2,62,artifice,PvP Ophidian Aspects - ,"#pvp, high total + high recovery",Minor Discipline Mod*,Arc Targeting*,Hands-On*,Kinetic Targeting*,Crucible Carmine*,Upgrade Armor*,*,*,*,*,Epialos Following Hood*,Strength-Forged*,Artifice Armor*
Felwinter's Helm,2822465023,"""6917529164929416431""",,Exotic,Helmet,,Warlock,1810,,10,Warlock(1816),true,false,3,10,,25,4,9,23,12,4,77,23,2,7,21,10,2,65,,Felwinter's Helm - ,"#neutral, #pve, this seems good with ranged melees as long as they can kill in #endgame",Mystophosphor*,Upgrade Armor*,*,*,*,*,Warlord's End*,,,,,,
Dawn Chorus,2316914168,"""6917529496856083417""",,Exotic,Helmet,lostsectors,Warlock,1809,,10,Warlock(1816),true,false,4,12,,12,15,15,4,31,4,81,10,8,13,2,29,2,64,,Dawn Chorus - ,"#casual #pve, high intellect, lots of additional #solar scorch, but starfire is just so good. Have to come back to it",Minor Resilience Mod*,Harmonic Siphon*,Heavy Ammo Finder*,Special Ammo Finder*,Echoed Anger*,Upgrade Armor*,*,*,*,*,Rites of Ember*,Phoenix Renascence*,
Corrupting Echo Cover,3171090615,"""6917529901272187652""",,Legendary,Helmet,30th,Warlock,1810,,10,Warlock(1816),true,false,4,15,,4,29,11,25,10,7,86,2,22,9,23,8,2,66,artifice,"Rain of Fire - , Phoenix Protocol - , Starfire Protocol - , Osmiomancy - , Raid, Stasis, Delta, Solar","high resilience + high discipline, #pve, should probably #replace veritas hood",Minor Resilience Mod*,Kinetic Siphon*,Ashes to Assets*,Heavy Ammo Finder*,Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Dawn Singer Hood*,Strength-Forged*,Artifice Armor*
Ketchkiller's Hood,738153648,"""6917529864925834511""",,Legendary,Helmet,plunder,Warlock,1810,,10,Warlock(1816),true,false,5,18,,4,12,34,16,13,8,87,2,10,22,14,11,6,65,,"Sunbracers - , Secant Filaments - , Void","#pve, high total",Recovery Mod*,Special Ammo Finder*,Heavy Ammo Scout*,Harmonic Siphon*,Sinking Feeling*,Upgrade Armor*,*,*,*,*,TM-Moss Custom Hat*,,
Cenotaph Mask,2374129871,"""6917529903636419453""",,Exotic,Helmet,lostsectors,Warlock,1810,,8,Warlock(1816),true,false,6,21,,7,14,12,19,2,20,74,7,14,12,19,2,10,64,,Xenomorph - ,"#endgame #pve, #overload, #group",Strength Mod*,Harmonic Siphon*,Special Ammo Scout*,Heavy Ammo Finder*,Envious Touch*,Upgrade Armor*,*,*,*,*,High Priority*,,
Corrupting Echo Gloves,2244604734,"""6917529901252045662""",,Legendary,Gauntlets,30th,Warlock,1800,,10,Warlock(1816),true,false,4,15,,4,26,8,9,4,35,86,2,24,6,2,2,30,66,artifice,"Phoenix Protocol - , Solar",high resilience + high strength,Minor Discipline Mod*,Bolstering Detonation*,Firepower*,Shield Break Charge*,Sinking Feeling*,Upgrade Armor*,*,*,*,*,Solstice Gloves (Majestic)*,Strength-Forged*,Artifice Armor*
Aeon Soul,2950045886,"""6917529795503053942""",,Exotic,Gauntlets,,Warlock,1810,,10,Warlock(1816),true,false,1,2,,4,17,20,20,4,14,79,2,15,18,18,2,12,67,, - Aeons - ,"#neutral, #endgame #pve",Oiled Gunmetal*,Upgrade Armor*,*,*,*,*,Sect of Insight*,,,,,,
Osmiomancy Gloves,3259193988,"""6917529783471416899""",,Exotic,Gauntlets,lostsectors,Warlock,1810,,10,Warlock(1816),true,false,5,16,,4,23,22,10,23,4,86,2,21,10,8,21,2,64,,"Osmiomancy - , Stasis","#stasis, #endgame #pve, high recovery + high intellect",Recovery Mod*,Heavy Handed*,Momentum Transfer*,Bolstering Detonation*,Queen's Colors*,Upgrade Armor*,*,*,*,*,Endothermia*,Fervid Coldsnap*,
