Name,Hash,Id,Tag,Tier,Type,Source,Category,Element,Power,Power Limit,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Year,Season,Event,Recoil,AA,Impact,Range,Zoom,Blast Radius,Velocity,Stability,ROF,Reload,Mag,Handling,Charge Time,Draw Time,Accuracy,Charge Rate,Guard Resistance,Guard Efficiency,Guard Endurance,Swing Speed,Shield Duration,Airborne Effectiveness,Crafted,Crafted Level,Kill Tracker,Foundry,Loadouts,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12,Perks 13,Perks 14,Perks 15
Nameless Midnight,1960218487,"""6917529048215001478""",archive,Legendary,Scout Rifle,strikes,KineticSlot,Kinetic,1600,1060,Reload Speed,10,Vault,true,false,1,1,,79,62,62,46,22,0,0,43,180,69,16,51,0,0,0,0,0,0,0,0,0,10,false,0,4171,fotc,,#pve,Precision Frame*,Red Dot 2 MOA*,Red Dot Micro,Rifle Scope SSF,Flared Magwell*,Steady Rounds,Explosive Payload*,Crimson Valor*,Weapon Attack Mod*,Masterwork Weapon*,,,,,,
Legend of Acrius,3580904580,"""6917529051352097346""",,Exotic,Shotgun,dcv,Power,Arc,1810,,"Magazine, Inventory Size, Reload Speed",10,Titan(1828),true,false,1,1,,80,90,85,100,12,0,0,80,55,60,6,0,0,0,0,0,0,0,0,0,0,3,false,0,808,,"No Backup Plans - , Dungeon",#casual #pve,Shock Blast*,Full Bore*,Accurized Rounds*,Long March*,Fitted Stock*,Kill Tracker,Acrius Catalyst*,The Emperor's Pleasure*,,,,,,,,
Tractor Cannon,3580904581,"""6917529054670546787""",,Exotic,Shotgun,,Power,Void,1810,,"Magazine, Inventory Size",10,Titan(1828),true,true,1,1,,70,90,65,20,12,0,0,95,80,15,7,35,0,0,0,0,0,0,0,0,0,8,false,0,1454,,"Wormgod Caress - , Synthoceps - , Strand, Nightfall","#pvp, #pve",Repulsor Force*,Extended Barrel*,Particle Repeater*,The Scientific Method*,Composite Stock*,Kill Tracker,Tractor Cannon Catalyst*,Abyssal Scream*,,,,,,,,
Sleeper Simulant,4036115577,"""6917529055865013181""",,Exotic,Linear Fusion Rifle,,Power,Solar,1806,,Charge Time,10,Vault,true,false,1,3,,65,57,41,59,25,0,0,54,0,44,4,40,774,0,0,0,0,0,0,0,0,9,false,0,920,,,"#endgame/#casual #pve, #pvp, #dps",Dornröschen*,Polygonal Rifling*,Flared Magwell*,Moving Target*,Composite Stock*,Kill Tracker,Sleeper Simulant Catalyst*,Directive: Crash*,,,,,,,,
Polaris Lance,3413074534,"""6917529057255308276""",,Exotic,Scout Rifle,,Energy,Solar,1600,,,10,Vault,true,false,1,3,,97,39,67,77,21,0,0,72,150,43,15,24,0,0,0,0,0,0,0,0,0,27,false,0,1732,,,"#solar #casual #pve, I think this can stun #unstoppable champions after 8 shots (2 explosions), but that's a long time",The Perfect Fifth*,Smallbore*,Tactical Mag*,Zen Moment*,Fitted Stock*,Kill Tracker,Polaris Lance Catalyst*,IKELOS Field Tuning*,,,,,,,,
Graviton Lance,3628991658,"""6917529057797567578""",,Exotic,Pulse Rifle,,Energy,Void,1810,,Range,10,Hunter(1828),true,false,1,1,,85,60,29,90,17,0,0,100,300,57,31,49,0,0,0,0,0,0,0,0,0,27,false,0,3640,,"Graviton Forfeit - , Nightfall",#casual #pve,Black Hole*,Hammer-Forged Rifling*,Accurized Rounds*,Cosmology*,Fitted Stock*,Kill Tracker,Graviton Lance Catalyst*,Carina Nebula*,,,,,,,,
IKELOS_SG_v1.0.1,1887808042,"""6917529058743532161""",archive,Legendary,Shotgun,dcv,Energy,Solar,1600,1060,Handling,10,Vault,true,false,1,3,,69,72,65,44,12,0,0,37,140,71,8,54,0,0,0,0,0,0,0,0,0,2,false,0,4407,,,sunset,Rapid-Fire Frame*,Rifled Barrel,Hammer-Forged Rifling*,Polygonal Rifling,Trench Barrel*,Tactical Mag*,Moving Target,Threat Detector*,Masterwork Weapon*,Mercury Vex Chrome*,,,,,,
Midnight Coup,1128225405,"""6917529061583783728""",archive,Legendary,Hand Cannon,dcv,KineticSlot,Kinetic,1600,1060,Handling,10,Vault,true,false,1,1,,80,90,84,35,14,0,0,45,140,56,12,75,0,0,0,0,0,0,0,0,0,10,false,0,2936,,,#pvp,Adaptive Frame*,Smallbore,Corkscrew Rifling*,Extended Barrel,Rampage*,Ambitious Assassin,Outlaw*,Clouds at Sea*,Weapon Attack Mod*,Masterwork Weapon*,,,,,,
Breakneck,324382200,"""6917529083796019441""",archive,Legendary,Auto Rifle,drifter,KineticSlot,Kinetic,1600,1060,Range,10,Vault,true,false,2,5,,80,44,29,74,16,0,0,55,450,26,40,37,0,0,0,0,0,0,0,0,0,20,false,0,9262,,,#pve,Precision Frame*,Polygonal Rifling*,Extended Mag*,Subsistence*,Onslaught*,Kill Tracker,Masterworked: Range*,Dreaming Spectrum*,,,,,,,,
Loaded Question,580961571,"""6917529087337891105""",archive,Legendary,Fusion Rifle,pinnacle-weapon,Energy,Arc,1600,1060,Stability,10,Vault,true,false,2,5,,77,66,95,58,17,0,0,35,0,0,8,35,960,0,0,0,0,0,0,0,0,4,false,0,8526,fotc,,#pve,High-Impact Frame*,Red Dot 2 MOA*,Ionized Battery*,Auto-Loading Holster*,Reservoir Burst*,Kill Tracker,Major Spec*,Masterworked: Stability*,Calus's Treasured*,Powerful Statement*,,,,,,
Izanagi's Burden,3211806999,"""6917529087343959678""",,Exotic,Sniper Rifle,ada,KineticSlot,Kinetic,1810,,,10,Titan(1828),true,false,2,5,,83,62,70,58,45,0,0,56,90,40,4,47,0,0,0,0,0,0,0,0,0,6,false,0,1009,,A Current GM Weapon Set - ,#endgame #pve #dps,Honed Edge*,Chambered Compensator*,Accurized Rounds*,No Distractions*,Composite Stock*,Kill Tracker,Izanagi's Burden Catalyst*,Ronin*,,,,,,,,
Kindled Orchid,2575506895,"""6917529087425190769""",archive,Legendary,Hand Cannon,ada,Energy,Void,1600,1060,Handling,6,Vault,true,false,2,5,,99,76,84,56,14,0,0,58,140,43,10,47,0,0,0,0,0,0,0,0,0,10,false,0,149,,,sunset,Adaptive Frame*,Full Bore,Smallbore*,Accurized Rounds*,Drop Mag,Surrounded*,Rampage*,Kill Tracker,Tier 6: Handling*,Mercury Vex Chrome*,,,,,,
Threat Level,1664372054,"""6917529090397048083""",archive,Legendary,Shotgun,dcv,KineticSlot,Kinetic,1600,1060,Stability,10,Vault,true,false,2,5,,66,74,65,35,12,0,0,59,140,75,7,53,0,0,0,0,0,0,0,0,0,2,false,0,2331,,,sunset,Rapid-Fire Frame*,Barrel Shroud*,Light Mag*,Trench Barrel*,Grave Robber*,Kill Tracker,Boss Spec*,Masterworked: Stability*,Shadow Gilt*,,,,,,,
The Recluse,3354242550,"""6917529091452594092""",archive,Legendary,Submachine Gun,crucible,Energy,Void,1600,1060,Range,10,Vault,true,false,2,6,,100,55,15,49,13,0,0,67,900,28,36,63,0,0,0,0,0,0,0,0,0,12,false,0,29013,veist,,#pve,Lightweight Frame*,Polygonal Rifling*,Ricochet Rounds*,Feeding Frenzy*,Master of Arms*,Kill Tracker,Major Spec*,Masterworked: Range*,Calus's Treasured*,Necrosis*,,,,,,
Outbreak Perfected,400096939,"""6917529093182899905""",,Exotic,Pulse Rifle,,KineticSlot,Kinetic,1810,,,10,Vault,true,false,2,6,,90,65,27,64,17,0,0,40,450,45,35,35,0,0,0,0,0,0,0,0,0,29,false,0,3069,,A Current GM Weapon Set - ,#endgame #pve,The Corruption Spreads*,Extended Barrel*,Accurized Rounds*,Outlaw*,Parasitism*,Kill Tracker,Outbreak Perfected Catalyst*,,,,,,,,,
One Thousand Voices,2069224589,"""6917529093421727091""",,Exotic,Fusion Rifle,lastwish,Power,Solar,1800,,,,Vault,true,false,2,4,,100,100,100,100,25,0,0,50,0,30,4,0,1000,0,0,0,0,0,0,0,0,6,false,0,0,,,"#endgame #pve. When on #solar, this can stun #unstoppable champions (or #barrier when radiant).",Ahamkara's Eye*,Extended Barrel*,Liquid Coils*,Unforeseen Repercussions*,Fitted Stock*,Kill Tracker,Scrimshander's Song*,,,,,,,,,
The Mountaintop,3993415705,"""6917529093826607145""",archive,Legendary,Grenade Launcher,crucible,KineticSlot,Kinetic,1600,1060,Velocity,10,Vault,true,false,2,5,,62,75,0,0,13,95,100,23,90,63,1,69,0,0,0,0,0,0,0,0,0,2,false,0,9094,,,sunset,Lightweight Frame*,Hard Launch*,Volatile Launch,Spike Grenades*,Sticky Grenades,Rangefinder*,Micro-Missile*,Kill Tracker,Boss Spec*,Masterworked: Velocity*,Dreaming Spectrum*,,,,,
Duke Mk. 44,2112909414,"""6917529095644242409""",archive,Legendary,Hand Cannon,legendaryengram,KineticSlot,Kinetic,1600,1060,Stability,10,Vault,true,false,2,4,,90,69,92,72,14,0,0,52,120,30,9,33,0,0,0,0,0,0,0,0,0,10,false,0,4203,,,"#pvp, #pve",Aggressive Frame*,TrueSight HCS*,HitMark HCS,Crossfire HCS,Rapid Hit*,Armor-Piercing Rounds,Ricochet Rounds*,Flared Magwell,Rampage*,Kill Tracker,Masterworked: Stability*,Calus's Treasured*,,,,
