Name,Hash,Id,Tag,Tier,Type,Source,Equippable,Power,Power Limit,Energy Capacity,Owner,Locked,Equipped,Year,Season,Event,Mobility,Resilience,Recovery,Discipline,Intellect,Strength,Total,Custom,Mobility (Base),Resilience (Base),Recovery (Base),Discipline (Base),Intellect (Base),Strength (Base),Total (Base),Custom (Base),Seasonal Mod,Loadouts,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12
The Stag,2177524718,"""6917529377262945880""",,Exotic,Helmet,,Warlock,1787,,10,Warlock(1758),true,false,1,2,,4,19,24,19,8,9,83,46,2,7,22,17,6,7,61,46,,"PvP Stag - , Stag PvE - , Stag PvE - ,  - Raid VotD - , Stag Master KF, Stag PvE - , Stasis","#neutral, #endgame #pve, #pvp, high recovery + high discipline",Resilience Mod*,Ashes to Assets*,Harmonic Siphon*,Arc Siphon*,Vanguard Burnished Steel*,Upgrade Armor*,*,*,*,*,Capreolinax*,Dearly Departed*,
Crystocrene Hood,1547733991,"""6917529855857999583""",,Legendary,Helmet,europa,Warlock,1774,,10,Warlock(1758),true,false,4,12,,4,17,15,29,8,4,77,50,2,15,13,22,6,2,60,50,,Osmiomancy - ,high resilience + high discipline,Minor Discipline Mod*,Font of Wisdom*,Special Ammo Finder*,Stasis Siphon*,Spectral Indigo*,Upgrade Armor*,*,*,*,*,Prodigal Hood*,,
Felwinter's Helm,2822465023,"""6917529164929416431""",,Exotic,Helmet,,Warlock,1600,,10,Warlock(1758),true,false,3,10,,25,4,9,23,12,4,77,30,23,2,7,21,10,2,65,30,,Felwinter's Helm - ,"#neutral, #pve, this seems good with ranged melees as long as they can kill in #endgame",Mystophosphor*,Upgrade Armor*,*,*,*,*,Warlord's End*,,,,,,
Veritas Hood,1795262004,"""6917529857149013186""",,Legendary,Helmet,throneworld,Warlock,1775,,10,Warlock(1758),true,false,5,16,,4,28,8,23,8,14,85,53,2,26,6,21,6,2,63,53,,"Starfire Protocol - , Aeons - , Phoenix Protocol - , Raid, Solar",high resilience + high discipline,Strength Mod*,Arc Siphon*,Ashes to Assets*,Special Ammo Finder*,Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Dawn Singer Hood*,,
Verity's Brow,2428181146,"""6917529152069460459""",,Exotic,Helmet,,Warlock,1600,,10,Warlock(1758),true,false,1,3,,9,4,23,24,8,4,72,45,7,2,21,22,6,2,60,45,,Verity's Brow - ,"#neutral, #raid/#casual #pve",Clouds at Sea*,Upgrade Armor*,*,*,*,*,The Fourth Magic*,,,,,,
Ketchkiller's Hood,738153648,"""6917529864925834511""",,Legendary,Helmet,plunder,Warlock,1600,,10,Warlock(1758),true,false,5,18,,4,12,34,16,13,8,87,46,2,10,22,14,11,6,65,46,,"Secant Filaments - , Void","#pve, high total",Recovery Mod*,Special Ammo Finder*,Ashes to Assets*,Harmonic Siphon*,Sinking Feeling*,Upgrade Armor*,*,*,*,*,TM-Moss Custom Hat*,,
Corrupting Echo Cover,1832715465,"""6917529571759468449""",,Legendary,Helmet,30th,Warlock,1680,,10,Warlock(1758),true,false,4,15,,4,8,33,13,19,4,81,43,2,6,26,11,17,2,64,43,,"Rain of Fire - ,  - Necrotic Grips - , Delta","#pve, high recovery + high total",Minor Recovery Mod*,Harmonic Siphon*,Font of Wisdom*,Special Ammo Finder*,Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Atavistic Idol Hood*,,
Grasp of Eir,3398467185,"""6917529856257317115""",,Legendary,Gauntlets,kf,Warlock,1777,,10,Warlock(1758),true,false,5,18,,4,27,8,27,10,11,87,46,2,25,6,15,8,9,65,46,kingsfall,"Rain of Fire - , Delta","#pve, high resilience",Discipline Mod*,Firepower*,Font of Focus*,Font of Vigor*,Crucible Carmine*,Upgrade Armor*,*,*,*,*,Candescent Gloves*,,
Ophidian Aspect,3627185503,"""6917529156076730868""",,Exotic,Gauntlets,,Warlock,1600,,10,Warlock(1758),true,false,1,2,,5,16,16,16,14,4,71,42,3,14,14,14,12,2,59,42,,PvP Ophidian Aspects - ,"#neutral, #pvp",Crucible Redjack*,Upgrade Armor*,*,*,*,*,Coaxial Bonds*,Cobra Totemic*,,,,,
Osmiomancy Gloves,3259193988,"""6917529783471416899""",,Exotic,Gauntlets,lostsectors,Warlock,1600,,9,Warlock(1758),false,false,5,16,,2,21,10,18,21,2,74,39,2,21,10,8,21,2,64,39,,Osmiomancy - ,"#stasis, #endgame #pve, #pvp, high recovery + high intellect",Discipline Mod*,Bolstering Detonation*,Fastball*,Momentum Transfer*,Queen's Colors*,Upgrade Armor*,*,*,*,*,Endothermia*,Fervid Coldsnap*,
