Name,Hash,Id,Tag,Tier,Type,Source,Equippable,Power,Power Limit,Masterwork Type,Masterwork Tier,Owner,Armor2.0,Locked,Equipped,Year,Season,Event,Mobility,Resilience,Recovery,Discipline,Intellect,Strength,Total,Custom,Mobility (Base),Resilience (Base),Recovery (Base),Discipline (Base),Intellect (Base),Strength (Base),Total (Base),Custom (Base),Seasonal Mod,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12,Perks 13,Perks 14
Candescent Hood,1840892693,"""6917529801063470423""",,Legendary,Helmet,events,Warlock,1570,,Arc Energy Capacity,10,Warlock(1586),true,true,false,5,17,Solstice,4,22,24,4,15,20,89,0,2,20,12,2,13,18,67,0,combatstyle,,Recovery Mod*,Rocket Launcher Ammo Finder*,Linear Fusion Rifle Ammo Finder*,Upgrade Armor*,*,*,*,*,Spark of Resilience*,No Kindling Added*,Small Kindling*,Large Kindling*,Fully Rekindled*,,
Lightkin Cover,1245678091,"""6917529496696105063""",,Legendary,Helmet,servitor,Warlock,1565,,Arc Energy Capacity,10,Warlock(1586),true,true,false,4,14,,10,4,24,28,16,24,106,0,8,2,22,16,14,2,64,0,combatstyle,,Discipline Mod*,Arc Siphon*,Radiant Light*,New Monarchy Succession*,Change Energy Type*,*,*,*,*,Dawn Singer Hood*,,,,,
The Stag,2177524718,"""6917529800365228291""",,Exotic,Helmet,,Warlock,1570,,Stasis Cost,10,Warlock(1586),true,true,false,1,2,,8,20,12,14,22,12,88,0,6,18,10,2,20,10,66,0,combatstyle,,Discipline Mod*,Rocket Launcher Ammo Finder*,Linear Fusion Rifle Ammo Finder*,Upgrade Armor*,*,*,*,*,Dearly Departed*,,,,,,
Candescent Hood,1840892693,"""6917529804901427334""",,Legendary,Helmet,events,Warlock,1350,,Arc Energy Capacity,10,Warlock(1586),true,true,false,5,17,Solstice,4,22,24,20,11,4,85,0,2,20,12,18,9,2,63,0,combatstyle,,Recovery Mod*,Rocket Launcher Ammo Finder*,Linear Fusion Rifle Ammo Finder*,Upgrade Armor*,*,*,*,*,Spark of Resilience*,No Kindling Added*,Small Kindling*,Large Kindling*,Fully Rekindled*,,
Gunsmith's Devotion Crown,583145321,"""6917529199392635453""",,Legendary,Helmet,dcv,Warlock,1570,,Solar Energy Capacity,10,Warlock(1586),true,true,false,3,11,,14,24,9,4,18,18,87,0,12,12,7,2,16,16,65,0,combatstyle,,Resilience Mod*,Rocket Launcher Ammo Finder*,Rocket Launcher Ammo Finder*,Irradiant Charoite*,Upgrade Armor*,*,*,*,*,Celestial Cover*,,,,,
Eidolon Pursuant Veil,217647949,"""6917529793962440334""",,Legendary,Helmet,haunted,Warlock,1570,,Solar Energy Capacity,10,Warlock(1586),true,true,false,5,17,,4,38,4,25,8,4,83,0,2,26,2,23,6,2,61,0,combatstyle,,Resilience Mod*,Linear Fusion Rifle Ammo Finder*,Fusion Rifle Ammo Finder*,Elemental Light*,Graceful Phantom*,Upgrade Armor*,*,*,*,*,Tusked Allegiance Hood*,Visage of the Reaper*,,,
Notorious Reaper Mask,3639906118,"""6917529091526081151""",,Legendary,Helmet,gambitprime,Hunter,1350,1060,Void Damage Resistance,5,Warlock(1586),false,true,false,2,6,,10,0,20,5,5,5,45,0,10,0,10,5,5,5,35,0,,,Survivalist Hunter Armor*,Plasteel Reinforcement Mod,Restorative Mod*,Masterwork*,Enhanced Ashes to Assets*,Sniper Rifle Reserves*,,,,,,,,,
Insight Vikti Hood,597618504,"""6917529210058211451""",,Legendary,Helmet,legendaryengram,Warlock,1560,,Stasis Cost,10,Warlock(1586),true,true,false,3,11,,12,4,33,8,23,4,84,0,10,2,21,6,21,2,62,0,combatstyle,,Recovery Mod*,Linear Fusion Rifle Ammo Finder*,Rocket Launcher Ammo Finder*,Skitchpaint*,Change Energy Type*,*,*,*,*,Facade of the Hezen Lords*,,,,,
Resonant Fury Cowl,2316722050,"""6917529650791697764""",,Legendary,Helmet,vow,Warlock,1560,,Arc Energy Capacity,10,Warlock(1586),true,true,false,5,16,,8,10,20,8,22,8,76,0,6,8,18,6,20,6,64,0,"combatstyle,vowofthedisciple",,Linear Fusion Rifle Ammo Finder*,Machine Gun Ammo Finder*,Radiant Light*,Malibeaux Bronze*,Change Energy Type*,*,*,*,*,,,,,,
Candescent Gloves,516735972,"""6917529805678027650""",,Legendary,Gauntlets,events,Warlock,1350,,Arc Energy Capacity,1,Warlock(1586),true,true,false,5,17,Solstice,2,12,20,2,6,25,67,0,2,12,20,2,6,25,67,0,combatstyle,,Change Energy Type*,*,*,*,*,Spark of Recovery*,No Kindling Added*,Small Kindling*,Large Kindling*,Fully Rekindled*,,,,,
